period,year,quarter,zip,city,county,Electric,Hydrogen,PHEV,total
2009-Q2,2009,2,94065,,,1,0,0,1
2009-Q2,2009,2,94066,,,1,0,0,1
2009-Q2,2009,2,94087,,,2,0,0,2
2009-Q2,2009,2,94111,,,1,0,0,1
2009-Q2,2009,2,94116,,,1,0,0,1
2009-Q2,2009,2,94118,,,1,0,0,1
2009-Q2,2009,2,94133,,,1,0,0,1
2009-Q2,2009,2,94301,,,2,0,0,2
2009-Q2,2009,2,94404,,,1,0,0,1
2009-Q2,2009,2,94549,,,3,0,0,3
2009-Q2,2009,2,94562,,,1,0,0,1
2009-Q2,2009,2,94708,,,1,0,0,1
2009-Q2,2009,2,94941,,,2,0,0,2
2009-Q2,2009,2,94957,,,1,0,0,1
2009-Q2,2009,2,94960,,,1,0,0,1
2009-Q2,2009,2,94973,,,1,0,0,1
2009-Q2,2009,2,95003,,,1,0,0,1
2009-Q2,2009,2,95014,,,2,0,0,2
2009-Q2,2009,2,95030,,,1,0,0,1
2009-Q2,2009,2,95032,,,1,0,0,1
2009-Q2,2009,2,95035,,,1,0,0,1
2009-Q2,2009,2,95070,,,2,0,0,2
2009-Q2,2009,2,95120,,,1,0,0,1
2009-Q2,2009,2,95126,,,1,0,0,1
2009-Q2,2009,2,95129,,,1,0,0,1
2009-Q2,2009,2,95148,,,1,0,0,1
2009-Q2,2009,2,95377,,,1,0,0,1
2009-Q2,2009,2,95404,,,1,0,0,1
2009-Q2,2009,2,95608,,,1,0,0,1
2009-Q2,2009,2,95658,,,1,0,0,1
2009-Q2,2009,2,99999,,,1,0,0,1
2009-Q3,2009,3,90010,,,1,0,0,1
2009-Q3,2009,3,90012,,,5,0,0,5
2009-Q3,2009,3,90020,,,1,0,0,1
2009-Q3,2009,3,90024,,,3,0,0,3
2009-Q3,2009,3,90027,,,4,0,0,4
2009-Q3,2009,3,90039,,,1,0,0,1
2009-Q3,2009,3,90040,,,1,0,0,1
2009-Q3,2009,3,90046,,,1,0,0,1
2009-Q3,2009,3,90049,,,1,0,0,1
2009-Q3,2009,3,90063,,,1,0,0,1
2009-Q3,2009,3,90064,,,3,0,0,3
2009-Q3,2009,3,90066,,,1,0,0,1
2009-Q3,2009,3,90067,,,2,0,0,2
2009-Q3,2009,3,90068,,,3,0,0,3
2009-Q3,2009,3,90069,,,1,0,0,1
2009-Q3,2009,3,90077,,,2,0,0,2
2009-Q3,2009,3,90210,,,4,0,0,4
2009-Q3,2009,3,90212,,,1,0,0,1
2009-Q3,2009,3,90250,,,1,0,0,1
2009-Q3,2009,3,90254,,,2,0,0,2
2009-Q3,2009,3,90265,,,1,0,0,1
2009-Q3,2009,3,90266,,,13,0,0,13
2009-Q3,2009,3,90272,,,2,0,0,2
2009-Q3,2009,3,90274,,,1,0,0,1
2009-Q3,2009,3,90275,,,3,0,0,3
2009-Q3,2009,3,90277,,,1,0,0,1
2009-Q3,2009,3,90291,,,1,0,0,1
2009-Q3,2009,3,90401,,,1,0,0,1
2009-Q3,2009,3,90402,,,10,0,0,10
2009-Q3,2009,3,90403,,,3,0,0,3
2009-Q3,2009,3,90404,,,10,0,0,10
2009-Q3,2009,3,90501,,,0,1,0,1
2009-Q3,2009,3,90503,,,1,0,0,1
2009-Q3,2009,3,90620,,,1,0,0,1
2009-Q3,2009,3,90703,,,1,0,0,1
2009-Q3,2009,3,90713,,,1,0,0,1
2009-Q3,2009,3,90803,,,1,0,0,1
2009-Q3,2009,3,90807,,,1,0,0,1
2009-Q3,2009,3,90808,,,1,0,0,1
2009-Q3,2009,3,91001,,,1,0,0,1
2009-Q3,2009,3,91006,,,1,0,0,1
2009-Q3,2009,3,91011,,,3,0,0,3
2009-Q3,2009,3,91017,,,1,0,0,1
2009-Q3,2009,3,91024,,,2,0,0,2
2009-Q3,2009,3,91103,,,1,0,0,1
2009-Q3,2009,3,91104,,,1,0,0,1
2009-Q3,2009,3,91105,,,2,0,0,2
2009-Q3,2009,3,91106,,,4,0,0,4
2009-Q3,2009,3,91107,,,2,0,0,2
2009-Q3,2009,3,91108,,,4,0,0,4
2009-Q3,2009,3,91206,,,1,0,0,1
2009-Q3,2009,3,91207,,,1,0,0,1
2009-Q3,2009,3,91214,,,1,0,0,1
2009-Q3,2009,3,91301,,,1,0,0,1
2009-Q3,2009,3,91326,,,3,0,0,3
2009-Q3,2009,3,91351,,,1,0,0,1
2009-Q3,2009,3,91354,,,1,0,0,1
2009-Q3,2009,3,91360,,,1,0,0,1
2009-Q3,2009,3,91361,,,3,0,0,3
