period,year,quarter,county,chargers,zev_sales
2021-Q1,2021,1,Colusa,28,4
2021-Q1,2021,1,Contra Costa,1455,1647
2021-Q1,2021,1,Del Norte,25,2
2021-Q1,2021,1,El Dorado,167,164
2021-Q1,2021,1,Fresno,1092,392
2021-Q1,2021,1,Glenn,14,7
2021-Q1,2021,1,Humboldt,124,49
2021-Q1,2021,1,Imperial,33,24
2021-Q1,2021,1,Inyo,35,6
2021-Q1,2021,1,Kern,298,267
2021-Q1,2021,1,Kings,147,35
2021-Q1,2021,1,Lake,15,10
2021-Q1,2021,1,Lassen,6,1
2021-Q1,2021,1,Los Angeles,19872,11801
2021-Q1,2021,1,Madera,121,43
2021-Q1,2021,1,Marin,728,719
2021-Q1,2021,1,Mariposa,16,6
2021-Q1,2021,1,Mendocino,146,31
2021-Q1,2021,1,Merced,138,69
2021-Q1,2021,1,Modoc,4,0
2021-Q1,2021,1,Mono,32,5
2021-Q1,2021,1,Monterey,424,219
2021-Q1,2021,1,Napa,386,196
2021-Q1,2021,1,Nevada,88,74
2021-Q1,2021,1,Orange,5381,5758
2021-Q1,2021,1,Placer,361,465
2021-Q1,2021,1,Plumas,7,1
2021-Q1,2021,1,Riverside,1422,1743
2021-Q1,2021,1,Sacramento,1850,1163
2021-Q1,2021,1,San Benito,47,37
2021-Q1,2021,1,San Bernardino,1395,1318
2021-Q1,2021,1,San Diego,7170,3784
2021-Q1,2021,1,San Francisco,1609,1418
2021-Q1,2021,1,San Joaquin,397,451
2021-Q1,2021,1,San Luis Obispo,493,255
2021-Q1,2021,1,San Mateo,4282,1539
2021-Q1,2021,1,Santa Barbara,499,384
2021-Q1,2021,1,Santa Clara,16119,3850
2021-Q1,2021,1,Santa Cruz,302,298
2021-Q1,2021,1,Shasta,93,69
2021-Q1,2021,1,Sierra,1,0
2021-Q1,2021,1,Siskiyou,56,3
2021-Q1,2021,1,Solano,394,385
2021-Q1,2021,1,Sonoma,789,541
2021-Q1,2021,1,Stanislaus,151,177
2021-Q1,2021,1,Sutter,31,39
2021-Q1,2021,1,Tehama,31,11
2021-Q1,2021,1,Trinity,6,1
2021-Q1,2021,1,Tulare,108,109
2021-Q1,2021,1,Tuolumne,50,13
2021-Q1,2021,1,Ventura,892,937
2021-Q1,2021,1,Yolo,386,166
2021-Q1,2021,1,Yuba,16,16
2021-Q2,2021,2,Alameda,3560,3246
2021-Q2,2021,2,Alpine,15,2
2021-Q2,2021,2,Amador,40,13
2021-Q2,2021,2,Butte,91,87
2021-Q2,2021,2,Calaveras,19,16
2021-Q2,2021,2,Colusa,30,2
2021-Q2,2021,2,Contra Costa,1461,2086
2021-Q2,2021,2,Del Norte,25,2
2021-Q2,2021,2,El Dorado,177,199
2021-Q2,2021,2,Fresno,1127,582
2021-Q2,2021,2,Glenn,14,3
2021-Q2,2021,2,Humboldt,134,65
2021-Q2,2021,2,Imperial,33,59
2021-Q2,2021,2,Inyo,39,11
2021-Q2,2021,2,Kern,306,425
2021-Q2,2021,2,Kings,147,49
2021-Q2,2021,2,Lake,17,28
2021-Q2,2021,2,Lassen,6,1
2021-Q2,2021,2,Los Angeles,20193,15645
2021-Q2,2021,2,Madera,121,66
2021-Q2,2021,2,Marin,730,763
2021-Q2,2021,2,Mariposa,16,6
2021-Q2,2021,2,Mendocino,158,56
2021-Q2,2021,2,Merced,142,115
2021-Q2,2021,2,Modoc,12,0
2021-Q2,2021,2,Mono,32,10
2021-Q2,2021,2,Monterey,431,334
2021-Q2,2021,2,Napa,388,200
2021-Q2,2021,2,Nevada,88,89
2021-Q2,2021,2,Orange,5477,7288
2021-Q2,2021,2,Placer,365,569
2021-Q2,2021,2,Plumas,7,5
2021-Q2,2021,2,Riverside,1441,2537
2021-Q2,2021,2,Sacramento,1852,1460
2021-Q2,2021,2,San Benito,47,65
2021-Q2,2021,2,San Bernardino,1415,1958
2021-Q2,2021,2,San Diego,7199,4497
2021-Q2,2021,2,San Francisco,1671,1579
2021-Q2,2021,2,San Joaquin,402,697
2021-Q2,2021,2,San Luis Obispo,513,352
2021-Q2,2021,2,San Mateo,4459,1714
2021-Q2,2021,2,Santa Barbara,492,452
2021-Q2,2021,2,Santa Clara,16202,4967
2021-Q2,2021,2,Santa Cruz,300,344
2021-Q2,2021,2,Shasta,93,100
2021-Q2,2021,2,Sierra,1,0
2021-Q2,2021,2,Siskiyou,67,10
2021-Q2,2021,2,Solano,421,463
2021-Q2,2021,2,Sonoma,791,649
2021-Q2,2021,2,Stanislaus,150,266
2021-Q2,2021,2,Sutter,31,46
2021-Q2,2021,2,Tehama,30,22
2021-Q2,2021,2,Trinity,6,0
2021-Q2,2021,2,Tulare,119,146
2021-Q2,2021,2,Tuolumne,50,24
2021-Q2,2021,2,Ventura,893,1194
2021-Q2,2021,2,Yolo,386,239
2021-Q2,2021,2,Yuba,16,35
2021-Q3,2021,3,Alameda,3625,3293
2021-Q3,2021,3,Alpine,15,4
2021-Q3,2021,3,Amador,40,17
2021-Q3,2021,3,Butte,92,93
2021-Q3,2021,3,Calaveras,21,26
2021-Q3,2021,3,Colusa,34,2
2021-Q3,2021,3,Contra Costa,1483,2166
2021-Q3,2021,3,Del Norte,29,2
2021-Q3,2021,3,El Dorado,181,206
2021-Q3,2021,3,Fresno,1143,557
2021-Q3,2021,3,Glenn,14,5
2021-Q3,2021,3,Humboldt,142,54
2021-Q3,2021,3,Imperial,33,67
2021-Q3,2021,3,Inyo,39,7
2021-Q3,2021,3,Kern,359,405
2021-Q3,2021,3,Kings,148,48
2021-Q3,2021,3,Lake,17,19
2021-Q3,2021,3,Lassen,14,1
2021-Q3,2021,3,Los Angeles,20520,15086
2021-Q3,2021,3,Madera,122,55
2021-Q3,2021,3,Marin,734,789
2021-Q3,2021,3,Mariposa,30,9
2021-Q3,2021,3,Mendocino,158,42
2021-Q3,2021,3,Merced,142,106
2021-Q3,2021,3,Modoc,12,0
2021-Q3,2021,3,Mono,32,3
2021-Q3,2021,3,Monterey,425,328
2021-Q3,2021,3,Napa,390,201
2021-Q3,2021,3,Nevada,89,82
2021-Q3,2021,3,Orange,5657,7053
2021-Q3,2021,3,Placer,402,661
2021-Q3,2021,3,Plumas,7,8
2021-Q3,2021,3,Riverside,1495,2766
2021-Q3,2021,3,Sacramento,1836,1358
2021-Q3,2021,3,San Benito,49,88
2021-Q3,2021,3,San Bernardino,1478,2006
2021-Q3,2021,3,San Diego,7278,5359
2021-Q3,2021,3,San Francisco,1840,1475
2021-Q3,2021,3,San Joaquin,407,704
2021-Q3,2021,3,San Luis Obispo,513,294
2021-Q3,2021,3,San Mateo,4701,1693
2021-Q3,2021,3,Santa Barbara,522,442
2021-Q3,2021,3,Santa Clara,16498,4767
2021-Q3,2021,3,Santa Cruz,306,311
2021-Q3,2021,3,Shasta,92,86
2021-Q3,2021,3,Sierra,1,1
2021-Q3,2021,3,Siskiyou,68,9
2021-Q3,2021,3,Solano,421,491
2021-Q3,2021,3,Sonoma,803,602
2021-Q3,2021,3,Stanislaus,158,317
2021-Q3,2021,3,Sutter,33,53
2021-Q3,2021,3,Tehama,31,11
2021-Q3,2021,3,Trinity,6,3
2021-Q3,2021,3,Tulare,124,145
2021-Q3,2021,3,Tuolumne,54,22
2021-Q3,2021,3,Ventura,894,1200
2021-Q3,2021,3,Yolo,388,200
2021-Q3,2021,3,Yuba,16,22
2021-Q4,2021,4,Alameda,3697,3364
2021-Q4,2021,4,Alpine,14,0
2021-Q4,2021,4,Amador,39,22
2021-Q4,2021,4,Butte,94,70
2021-Q4,2021,4,Calaveras,21,20
2021-Q4,2021,4,Colusa,38,8
2021-Q4,2021,4,Contra Costa,1451,2156
2021-Q4,2021,4,Del Norte,29,6
2021-Q4,2021,4,El Dorado,179,224
2021-Q4,2021,4,Fresno,1133,568
2021-Q4,2021,4,Glenn,14,9
2021-Q4,2021,4,Humboldt,150,60
2021-Q4,2021,4,Imperial,31,48
2021-Q4,2021,4,Inyo,42,7
2021-Q4,2021,4,Kern,416,403
2021-Q4,2021,4,Kings,204,57
2021-Q4,2021,4,Lake,14,16
2021-Q4,2021,4,Lassen,13,1
2021-Q4,2021,4,Los Angeles,20950,16032
2021-Q4,2021,4,Madera,130,83
2021-Q4,2021,4,Marin,739,832
2021-Q4,2021,4,Mariposa,24,3
2021-Q4,2021,4,Mendocino,160,40
2021-Q4,2021,4,Merced,125,100
2021-Q4,2021,4,Modoc,12,2
2021-Q4,2021,4,Mono,32,11
2021-Q4,2021,4,Monterey,452,321
2021-Q4,2021,4,Napa,393,198
2021-Q4,2021,4,Nevada,116,82
2021-Q4,2021,4,Orange,5852,7530
2021-Q4,2021,4,Placer,419,683
2021-Q4,2021,4,Plumas,7,13
2021-Q4,2021,4,Riverside,1548,2787
2021-Q4,2021,4,Sacramento,1813,1497
2021-Q4,2021,4,San Benito,47,67
2021-Q4,2021,4,San Bernardino,1367,2072
2021-Q4,2021,4,San Diego,10080,5170
2021-Q4,2021,4,San Francisco,1630,1551
2021-Q4,2021,4,San Joaquin,442,762
2021-Q4,2021,4,San Luis Obispo,566,277
2021-Q4,2021,4,San Mateo,4511,2036
2021-Q4,2021,4,Santa Barbara,557,457
2021-Q4,2021,4,Santa Clara,15987,5455
2021-Q4,2021,4,Santa Cruz,307,335
2021-Q4,2021,4,Shasta,86,82
2021-Q4,2021,4,Sierra,1,0
2021-Q4,2021,4,Siskiyou,72,12
2021-Q4,2021,4,Solano,471,502
2021-Q4,2021,4,Sonoma,794,564
2021-Q4,2021,4,Stanislaus,151,283
