period,year,quarter,county,fuel_type,sales
2011-Q2,2011,2,Sacramento,Electric,16
2011-Q2,2011,2,Sacramento,PHEV,9
2011-Q2,2011,2,San Benito,Electric,2
2011-Q2,2011,2,San Bernardino,Electric,11
2011-Q2,2011,2,San Bernardino,PHEV,15
2011-Q2,2011,2,San Diego,Electric,230
2011-Q2,2011,2,San Diego,PHEV,45
2011-Q2,2011,2,San Francisco,Electric,32
2011-Q2,2011,2,San Francisco,PHEV,16
2011-Q2,2011,2,San Joaquin,Electric,3
2011-Q2,2011,2,San Joaquin,PHEV,1
2011-Q2,2011,2,San Luis Obispo,Electric,8
2011-Q2,2011,2,San Luis Obispo,PHEV,3
2011-Q2,2011,2,San Mateo,Electric,73
2011-Q2,2011,2,San Mateo,PHEV,14
2011-Q2,2011,2,Santa Barbara,Electric,16
2011-Q2,2011,2,Santa Barbara,PHEV,10
2011-Q2,2011,2,Santa Clara,Electric,201
2011-Q2,2011,2,Santa Clara,PHEV,48
2011-Q2,2011,2,Santa Cruz,Electric,18
2011-Q2,2011,2,Santa Cruz,PHEV,1
2011-Q2,2011,2,Shasta,Electric,3
2011-Q2,2011,2,Shasta,PHEV,1
2011-Q2,2011,2,Solano,Electric,5
2011-Q2,2011,2,Solano,PHEV,4
2011-Q2,2011,2,Sonoma,Electric,19
2011-Q2,2011,2,Sonoma,PHEV,9
2011-Q2,2011,2,Stanislaus,Electric,1
2011-Q2,2011,2,Stanislaus,PHEV,4
2011-Q2,2011,2,Trinity,Electric,1
2011-Q2,2011,2,Tulare,Electric,4
2011-Q2,2011,2,Tulare,PHEV,1
2011-Q2,2011,2,Tuolumne,Electric,1
2011-Q2,2011,2,Ventura,Electric,20
2011-Q2,2011,2,Ventura,PHEV,17
2011-Q2,2011,2,Yolo,Electric,11
2011-Q2,2011,2,Yolo,PHEV,4
2011-Q2,2011,2,Yuba,Electric,1
2011-Q3,2011,3,Alameda,Electric,148
2011-Q3,2011,3,Alameda,PHEV,13
2011-Q3,2011,3,Amador,Electric,2
2011-Q3,2011,3,Butte,Electric,4
2011-Q3,2011,3,Contra Costa,Electric,66
2011-Q3,2011,3,Contra Costa,PHEV,3
2011-Q3,2011,3,El Dorado,Electric,6
2011-Q3,2011,3,El Dorado,PHEV,3
2011-Q3,2011,3,Fresno,Electric,5
2011-Q3,2011,3,Fresno,PHEV,3
2011-Q3,2011,3,Humboldt,Electric,6
2011-Q3,2011,3,Kern,Electric,7
2011-Q3,2011,3,Kern,PHEV,2
2011-Q3,2011,3,Lake,Electric,3
2011-Q3,2011,3,Los Angeles,Electric,437
2011-Q3,2011,3,Los Angeles,PHEV,68
2011-Q3,2011,3,Madera,Electric,2
2011-Q3,2011,3,Madera,PHEV,1
2011-Q3,2011,3,Marin,Electric,29
2011-Q3,2011,3,Marin,PHEV,2
2011-Q3,2011,3,Merced,Electric,1
2011-Q3,2011,3,Monterey,Electric,7
2011-Q3,2011,3,Monterey,PHEV,3
2011-Q3,2011,3,Napa,Electric,3
2011-Q3,2011,3,Napa,PHEV,2
2011-Q3,2011,3,Nevada,Electric,2
2011-Q3,2011,3,Nevada,PHEV,1
2011-Q3,2011,3,Orange,Electric,132
2011-Q3,2011,3,Orange,PHEV,33
2011-Q3,2011,3,Out Of State,Electric,52
2011-Q3,2011,3,Out Of State,PHEV,8
2011-Q3,2011,3,Placer,Electric,8
2011-Q3,2011,3,Placer,PHEV,3
2011-Q3,2011,3,Riverside,Electric,24
2011-Q3,2011,3,Riverside,PHEV,8
2011-Q3,2011,3,Sacramento,Electric,28
2011-Q3,2011,3,Sacramento,PHEV,18
2011-Q3,2011,3,San Benito,Electric,1
2011-Q3,2011,3,San Bernardino,Electric,14
2011-Q3,2011,3,San Bernardino,PHEV,7
2011-Q3,2011,3,San Diego,Electric,310
